Char 	Prob 	Code 	 	#bits 	 	Entropy
-----------------------------------------
q	0.0518941	10111010010	 	11	 	0.570835
F	0.0518941	10111010011	 	11	 	0.570835
9	0.0518941	10111010000	 	11	 	0.570835
8	0.0518941	10111010001	 	11	 	0.570835
6	0.0518941	10011011110	 	11	 	0.570835
3	0.0518941	10011011111	 	11	 	0.570835
'	0.0518941	0001001110	 	10	 	0.518941
U	0.103788	0001001111	 	10	 	1.03788
S	0.103788	1001101100	 	10	 	1.03788
P	0.103788	1001101101	 	10	 	1.03788
L	0.103788	1001101010	 	10	 	1.03788
B	0.103788	1001101011	 	10	 	1.03788
1	0.103788	1001101000	 	10	 	1.03788
Ã	0.103788	1001101001	 	10	 	1.03788
³	0.103788	1001101110	 	10	 	1.03788
W	0.155682	000100100	 	9	 	1.40114
N	0.155682	000100101	 	9	 	1.40114
C	0.155682	000100110	 	9	 	1.40114
k	0.207577	101110101	 	9	 	1.86819
T	0.207577	00010000	 	8	 	1.66062
I	0.207577	00010001	 	8	 	1.66062
G	0.207577	101110110	 	9	 	1.86819
A	0.207577	101110111	 	9	 	1.86819
.	0.726518	1001100	 	7	 	5.08563
p	0.830306	1011100	 	7	 	5.81214
y	1.03788	1100110	 	7	 	7.26516
m	1.03788	1100111	 	7	 	7.26516
b	1.08978	000101	 	6	 	6.53868
u	1.40114	011100	 	6	 	8.40684
w	1.45304	011101	 	6	 	8.71824
v	1.45304	011110	 	6	 	8.71824
,	1.55682	011111	 	6	 	9.34092
g	1.60872	100111	 	6	 	9.65232
*	1.66061	101100	 	6	 	9.96366
^	1.66061	101101	 	6	 	9.96366
f	1.92008	101111	 	6	 	11.5205
c	1.97198	110010	 	6	 	11.8319
l	2.6466	00011	 	5	 	13.233
s	3.16554	10010	 	5	 	15.8277
d	3.73638	11000	 	5	 	18.6819
i	4.411	0000	 	4	 	17.644
h	4.98184	0010	 	4	 	19.9274
r	5.18941	0011	 	4	 	20.7576
n	5.2932	0110	 	4	 	21.1728
o	5.96783	1000	 	4	 	23.8713
a	6.53866	1010	 	4	 	26.1546
t	7.9917	1101	 	4	 	31.9668
e	10.7421	010	 	3	 	32.2263
|	17.2289	111	 	3	 	51.6867
