Char 	Prob 	Code 	#Bits 	Entrophy
---------------------------------------------------
q	0.05200208008320333	11111110001110	14	0.7280291211648466
F	0.05200208008320333	11111110001111	14	0.7280291211648466
9	0.05200208008320333	11111110001100	14	0.7280291211648466
8	0.05200208008320333	11111110001101	14	0.7280291211648466
6	0.05200208008320333	11110000110010	14	0.7280291211648466
3	0.05200208008320333	11110000110011	14	0.7280291211648466
'	0.05200208008320333	1111000011000	13	0.6760270410816434
U	0.10400416016640666	1111111000100	13	1.3520540821632867
S	0.10400416016640666	1111111000101	13	1.3520540821632867
P	0.10400416016640666	100100110010	12	1.24804992199688
L	0.10400416016640666	100100110011	12	1.24804992199688
B	0.10400416016640666	100100110000	12	1.24804992199688
1	0.10400416016640666	101110000100	12	1.24804992199688
W	0.15600624024961	111100001101	12	1.87207488299532
N	0.15600624024961	111001000010	12	1.87207488299532
C	0.15600624024961	111001000011	12	1.87207488299532
k	0.20800832033281333	111111100000	12	2.49609984399376
T	0.20800832033281333	111111100001	12	2.49609984399376
I	0.20800832033281333	111100001110	12	2.49609984399376
G	0.20800832033281333	111100001111	12	2.49609984399376
A	0.20800832033281333	111010010011	12	2.49609984399376
.	0.7280291211648465	1111000010	10	7.280291211648465
p	0.8320332813312533	1111111001	10	8.320332813312532
y	1.0400416016640666	100100111	9	9.360374414976599
m	1.0400416016640666	110000100	9	9.360374414976599
b	1.0920436817472698	110000101	9	9.82839313572543
u	1.40405616224649	111001100	9	12.63650546021841
w	1.456058242329693	111010000	9	13.104524180967237
v	1.456058242329693	111100000	9	13.104524180967237
,	1.5600624024960998	111110100	9	14.0405616224649
g	1.6120644825793031	111110101	9	14.508580343213728
*	1.6640665626625066	111111101	9	14.97659906396256
^	1.6640665626625066	111111110	9	14.97659906396256
f	1.924076963078523	111111111	9	17.316692667706707
c	1.9760790431617263	10010010	8	15.80863234529381
l	2.65210608424337	11000011	8	21.21684867394696
s	3.172126885075403	11111011	8	25.377015080603226
d	3.74414976599064	1001000	7	26.209048361934478
i	4.420176807072282	1100000	7	30.94123764950598
h	4.99219968798752	1100010	7	34.945397815912635
r	5.200208008320333	1101000	7	36.40145605824233
n	5.30421216848674	1110000	7	37.129485179407176
o	5.980239209568382	1111100	7	41.86167446697868
a	6.5522620904836195	1111110	7	45.86583463338533
t	8.008320332813312	100101	6	48.049921996879874
e	10.764430577223088	110110	6	64.58658346333853
|	17.264690587623505	10100	5	86.32345293811753
